rank,prev_rank,name,league,off,def,spi
424,441,Barnsley,English League One,1.06,1.57,34.01
425,407,Clermont Foot,French Ligue 2,0.92,1.39,33.99
426,437,Tromso,Norwegian Tippeligaen,1.17,1.72,33.98
427,444,Consadole Sapporo,Japanese J League,1.2,1.75,33.96
428,387,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,1.28,1.87,33.71
429,423,Valerenga,Norwegian Tippeligaen,1.3,1.9,33.65
430,415,Orlando Pirates,South African ABSA Premier League,0.96,1.46,33.54
431,432,Minnesota United FC,Major League Soccer,1.24,1.84,33.38
432,429,SC Paderborn,German 2. Bundesliga,1.17,1.75,33.3
433,427,Emmen,Dutch Eredivisie,1.08,1.64,33.29
434,434,Erzurumspor,Turkish Turkcell Super Lig,0.97,1.49,33.29
435,465,Portsmouth,English League One,1.02,1.55,33.27
436,419,Benevento,Italy Serie B,1.04,1.59,33.22
437,428,Albacete,Spanish Segunda Division,0.95,1.47,33.1
438,426,VfL Bochum,German 2. Bundesliga,1.08,1.65,33.05
439,439,Western Sydney FC,Australian A-League,1.19,1.82,32.69
440,430,Vancouver Whitecaps,Major League Soccer,1.24,1.88,32.63
441,436,Verona,Italy Serie B,1.01,1.59,32.48
442,457,Kashiwa Reysol,Japanese J League,1.15,1.77,32.36
443,446,Jubilo Iwata,Japanese J League,1.0,1.58,32.32
444,451,FC St. Pauli,German 2. Bundesliga,0.99,1.57,32.24
445,445,Chicago Fire,Major League Soccer,1.14,1.78,32.24
446,447,Shonan Bellmare,Japanese J League,0.94,1.51,32.23
447,440,Pittsburgh Riverhounds,United Soccer League,0.94,1.5,32.17
448,450,Perth Glory,Australian A-League,1.22,1.88,32.13
449,459,1. FC Heidenheim 1846,German 2. Bundesliga,1.04,1.64,32.12
450,488,Orebro SK,Swedish Allsvenskan,0.94,1.52,31.94
451,477,Reno 1868 FC,United Soccer League,1.09,1.73,31.89
452,454,Brisbane Roar,Australian A-League,1.05,1.68,31.76
453,456,Randers FC,Danish SAS-Ligaen,1.02,1.64,31.71
454,453,Perugia,Italy Serie B,1.03,1.66,31.71
455,460,1. FC Magdeburg,German 2. Bundesliga,0.97,1.59,31.6
456,398,Vissel Kobe,Japanese J League,1.02,1.65,31.52
457,470,Foggia,Italy Serie B,1.07,1.72,31.49
458,443,Cadiz,Spanish Segunda Division,0.76,1.29,31.46
459,485,AC Horsens,Danish SAS-Ligaen,0.99,1.62,31.42
460,475,De Graafschap,Dutch Eredivisie,1.02,1.68,31.18
461,472,Neuchatel Xamax,Swiss Raiffeisen Super League,1.11,1.8,31.13
462,461,SV Darmstadt 98,German 2. Bundesliga,0.99,1.64,31.12
463,455,NAC,Dutch Eredivisie,1.15,1.87,30.88
464,466,Adelaide United,Australian A-League,1.05,1.73,30.85
465,463,FC Wacker Innsbruck,Austrian T-Mobile Bundesliga,1.11,1.82,30.58
466,458,Osasuna,Spanish Segunda Division,0.72,1.29,30.56
467,476,Larissa,Greek Super League,0.77,1.36,30.56
468,452,Hartberg,Austrian T-Mobile Bundesliga,1.0,1.69,30.54
469,478,Tenerife,Spanish Segunda Division,0.88,1.52,30.54
470,462,Kristiansund BK,Norwegian Tippeligaen,1.11,1.84,30.4
471,468,Bethlehem Steel FC,United Soccer League,1.1,1.83,30.23
472,479,San Jose Earthquakes,Major League Soccer,1.19,1.96,30.22
473,469,Esbjerg,Danish SAS-Ligaen,0.88,1.53,30.13
474,471,MSV Duisburg,German 2. Bundesliga,1.09,1.84,29.99
475,449,Levadiakos,Greek Super League,0.74,1.35,29.92
476,486,Cittadella,Italy Serie B,0.87,1.54,29.9
477,484,Ranheim,Norwegian Tippeligaen,1.13,1.9,29.82
478,473,Lamia,Greek Super League,0.77,1.39,29.75
479,480,Paris FC,French Ligue 2,0.74,1.36,29.68
480,481,Brescia,Italy Serie B,0.97,1.68,29.67
481,448,IF Elfsborg,Swedish Allsvenskan,0.88,1.56,29.58
482,500,Almeria,Spanish Segunda Division,0.77,1.42,29.56
483,487,SpVgg Greuther Fürth,German 2. Bundesliga,0.89,1.59,29.35
484,442,Mouscron-Peruwelz,Belgian Jupiler League,0.91,1.63,29.31
485,474,F.B.C Unione Venezia,Italy Serie B,0.87,1.59,28.99
486,493,Mallorca,Spanish Segunda Division,0.85,1.57,28.83
487,482,SV Sandhausen,German 2. Bundesliga,0.79,1.48,28.83
488,467,OFI Crete,Greek Super League,0.98,1.76,28.73
